OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
206,45232,Crabapple spp.,Malus spp.,1,0-3in,1,Fall 2023,Boston,East Boston,Noyes Park,-71.0105057,42.3889198,POINT (-71.010503932999939 42.388921517000028),-71.01050393,42.38892152
207,45234,"Ash, Green",Fraxinus pennsylvanica,1,18-24in,23,--,Boston,Dorchester,Ronan Park,-71.060936,42.3037758,POINT (-71.060937210999953 42.303775478000034),-71.06093721,42.30377548
208,45235,"Ash, Green",Fraxinus pennsylvanica,1,24-30in,25,--,Boston,Dorchester,Ronan Park,-71.0609207,42.303627,POINT (-71.06091811999994 42.30362821500006),-71.06091812,42.30362822
209,45236,"Ash, Green",Fraxinus pennsylvanica,2,>30in,36,--,Boston,Dorchester,Ronan Park,-71.0610123,42.3039742,POINT (-71.061015310999949 42.303974667000034),-71.06101531,42.30397467
210,45237,"Ash, Green",Fraxinus pennsylvanica,1,>30in,32,--,Boston,Dorchester,Ronan Park,-71.0610733,42.3040848,POINT (-71.061076843999956 42.30408482200005),-71.06107684,42.30408482
211,45238,"Ash, Green",Fraxinus pennsylvanica,1,6-12in,11,--,Boston,Dorchester,Hemenway Playground,-71.0566406,42.290905,POINT (-71.056641984999942 42.290906891000077),-71.05664198,42.29090689
212,45239,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,16,--,Boston,Dorchester,Hemenway Playground,-71.0570526,42.2913933,POINT (-71.057048812999938 42.291393643000049),-71.05704881,42.29139364
213,45240,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,14,--,Boston,Dorchester,Hemenway Playground,-71.0569839,42.2913361,POINT (-71.056984912999951 42.291335754000045),-71.05698491,42.29133575
214,45241,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,14,--,Boston,Dorchester,Hemenway Playground,-71.0569229,42.2912788,POINT (-71.056925588999945 42.291280082000071),-71.05692559,42.29128008
215,45242,"Ash, Green",Fraxinus pennsylvanica,1,18-24in,19,--,Boston,Dorchester,McConnell Park,-71.0512619,42.308136,POINT (-71.051258450999967 42.308136018000027),-71.05125845,42.30813602
